NEW,TX,Freeze,Bud,07/04/2017,10/04/2017,11/04/2017,13/04/2017,17/04/2017,24/04/2017,28/04/2017,01/05/2017,03/05/2017,06/05/2017,10/05/2017,13/05/2017,15/05/2017,19/05/2017,23/05/2017,25/05/2017,30/05/2017,01/06/2017,05/06/2017,08/06/2017,12/06/2017,15/06/2017,20/06/2017,25/06/2017,03/07/2017,07/07/2017,11/07/2017,14/07/2017,17/07/2017,26/07/2017,28/07/2017,01/08/2017,07/08/2017,14/08/2017
SAMRAC_G01,A,,Blue,9,10,,10,10,11,11,12,12,12,12,12,12,12,12,12,13,13,13,13,13,DONE!,DONE!,,,,,,,,,,,
SAMRAC_G01,A,,Red,,9,,9,10,10,10,12,13,15,15,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,
SAMRAC_G01,A,,Green,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,,
SAMRAC_G01,A,,Black,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,,,,,,,,,,,,,
SAMRAC_G01,A,,Yellow,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,,,,,,,,,,,,,
SAMRAC_G02,A,,Blue,10,11,,11,11,12,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,
SAMRAC_G02,A,,Red,9,10,,10,11,11,12,12,12,13,13,13,13,13,13,13,13,14,14,14,14,15,15,15,,,,,,,,,,
SAMRAC_G02,A,,Green,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,10,11,12,12,,,,,,,,,,
SAMRAC_G02,A,,Black,,,,,,,,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,11,11,,,,,,,,,,
SAMRAC_G03,A,,Blue,,,,,,,9,9,9,10,9,9,9,9,9,9,10,10,10,11,11,11,13,15,,,,,,,,,,
SAMRAC_G03,A,,Red,,,,,,,9,9,9,10,9,9,10,11,11,11,11,11,11,11,11,11,11,11,,,,,,,,,,
SAMRAC_G03,A,,Green,,,,,,,9,9,9,10,9,9,9,9,9,9,10,10,10,10,11,11,12,15,,,,,,,,,,
SAMRAC_G03,A,,Black,,,,,,,,9,9,10,9,9,9,9,9,9,10,10,10,10,10,10,10,10,,,,,,,,,,
SAMRAC_G03,A,,Yellow,,,,,9,9,9,9,10,11,11,15,15,15,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,
SAMRAC_G03,A,,White,,,,,,9,9,9,11,12,11,15,15,14,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,
SAMRAC_G03,A,,Blue,,,,,,9,10,12,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,
SAMRAC_G04,A,,Blue,10,11,,11,12,12,12,13,13,13,13,14,14,14,14,14,14,14,14,14,15,DONE!,,,,,,,,,,,,
SAMRAC_G04,A,,Red,10,11,,11,12,12,13,13,13,13,13,14,14,14,14,14,15,15,15,15,15,,,,,,,,,,,,,
SAMRAC_G04,A,,Green,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,
SAMRAC_G04,A,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G04,A,,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G05,A,,Blue,,,,,,,,,,,,9,9,9,10,11,12,12,12,12,13,13,13,15,,,,,,,,,,
SAMRAC_G05,A,,Red,,,,,,,,,,,,9,10,13,14,15,15,15,15,15,15,15,15,15,,,,,,,,,,
SAMRAC_G05,A,,Green,,,,,9,9,9,9,9,9,10,11,11,15,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,
SAMRAC_G05,A,,Black,,,,,,,,,,9,9,9,9,9,9,9,10,11,11,11,11,11,11,11,,,,,,,,,,
SAMRAC_G05,A,,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G06,A,,Blue,10,11,,11,12,12,12,13,13,15,15,15,15,15,DONE!,DONE!,DONE!,DONE!,,,DONE!,,,,,,,,,,,,,
SAMRAC_G06,A,,Red,,9,,9,9,9,9,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,
SAMRAC_G06,A,,Green,11,12,,12,14,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,
SAMRAC_G06,A,,Black,,14,,14,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,
SAMRAC_G06,A,,Yellow,10,11,,11,12,12,13,14,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,
SAMRAC_G06,A,,White,10,11,,11,11,13,14,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,
