"species","individ","bud","tx","dvr","frost","ind"
"BETPAP","BETPAP_G01",12,"A",8,0,1
"BETPAP","BETPAP_G01",16,"A",8,0,1
"BETPAP","BETPAP_G01",17,"A",8,0,1
"BETPAP","BETPAP_G01",19,"A",5,0,1
"BETPAP","BETPAP_G01",20,"A",5,0,1
"BETPAP","BETPAP_G01",21,"A",5,0,1
"BETPAP","BETPAP_G01",3,"A",8,0,1
"BETPAP","BETPAP_G01",4,"A",5,0,1
"BETPAP","BETPAP_G01",5,"A",5,0,1
"BETPAP","BETPAP_G01",6,"A",5,0,1
"BETPAP","BETPAP_G01",7,"A",10,0,1
"BETPAP","BETPAP_G01",8,"A",10,0,1
"BETPAP","BETPAP_G01",9,"A",5,0,1
"BETPAP","BETPAP_G02",1,"B",5,1,1
"BETPAP","BETPAP_G02",10,"B",5,1,1
"BETPAP","BETPAP_G02",11,"B",5,1,1
"BETPAP","BETPAP_G02",12,"B",10,0,1
"BETPAP","BETPAP_G02",13,"B",10,0,1
"BETPAP","BETPAP_G02",14,"B",5,1,1
"BETPAP","BETPAP_G02",18,"B",8,1,1
"BETPAP","BETPAP_G02",19,"B",8,1,1
"BETPAP","BETPAP_G02",6,"B",21,0,1
"BETPAP","BETPAP_G02",8,"B",5,1,1
"BETPAP","BETPAP_G03",1,"A",3,0,2
"BETPAP","BETPAP_G03",10,"A",3,0,2
"BETPAP","BETPAP_G03",11,"A",4,0,2
"BETPAP","BETPAP_G03",12,"A",4,0,2
"BETPAP","BETPAP_G03",14,"A",3,0,2
"BETPAP","BETPAP_G03",15,"A",12,0,2
"BETPAP","BETPAP_G03",16,"A",12,0,2
"BETPAP","BETPAP_G03",17,"A",16,0,2
"BETPAP","BETPAP_G03",18,"A",4,0,2
"BETPAP","BETPAP_G03",2,"A",11,0,2
"BETPAP","BETPAP_G03",3,"A",3,0,2
"BETPAP","BETPAP_G03",7,"A",3,0,2
"BETPAP","BETPAP_G03",9,"A",4,0,2
"BETPAP","BETPAP_G04",10,"A",6,0,3
"BETPAP","BETPAP_G04",12,"A",4,0,3
"BETPAP","BETPAP_G04",13,"A",2,0,3
"BETPAP","BETPAP_G04",14,"A",2,0,3
"BETPAP","BETPAP_G04",15,"A",2,0,3
"BETPAP","BETPAP_G04",16,"A",4,0,3
"BETPAP","BETPAP_G04",2,"A",6,0,3
"BETPAP","BETPAP_G04",3,"A",2,0,3
"BETPAP","BETPAP_G04",6,"A",2,0,3
"BETPAP","BETPAP_G04",8,"A",6,0,3
"BETPAP","BETPAP_G05",1,"A",16,0,4
"BETPAP","BETPAP_G05",10,"A",3,0,4
"BETPAP","BETPAP_G05",11,"A",3,0,4
"BETPAP","BETPAP_G05",12,"A",4,0,4
