position,secPhaseTop,secPhaseBot,angPhaseTop,angPhaseBot,secFreqDor,secFreqCaud,cmAmpDor,cmAmpCaud,ratioAmp,frameRate
far,2.6,2.7,93.6,97.2,0.1,0.098039216,4.437691089,6.52963495,0.679623152,10
far,2.4,2.7,90,101.25,0.104166667,0.098039216,4.425166685,6.530003315,0.677666836,10
far,2.3,2.5,84.48979592,91.83673469,0.102040816,0.098039216,4.440638008,6.530003315,0.680036103,10
far,2.5,2.8,93.75,105,0.104166667,0.098039216,4.427745239,6.515637087,0.679556762,10
far,2.3,2.9,90,113.4782609,0.108695652,0.096153846,4.433639076,6.525214573,0.679462572,10
near,1.5,1.7,55.10204082,62.44897959,0.102040816,0.098039216,3.598187645,6.52963495,0.551054948,10
near,1.5,1.7,55.10204082,62.44897959,0.102040816,0.098039216,3.596345821,6.530003315,0.550741806,10
near,1.5,1.7,55.10204082,62.44897959,0.102040816,0.098039216,3.616237522,6.530003315,0.553788007,10
near,1.6,1.8,58.7755102,66.12244898,0.102040816,0.098039216,3.614395697,6.515637087,0.554726368,10
near,1.5,1.7,54,61.2,0.1,0.096153846,3.612553873,6.525214573,0.553629897,10
