"","Frequency","Position","SPS","Power","SwimEcon"
"1",0.5,"ctrl",0.0546710372278155,0.00143877897447904,37.9982180707158
"2",1,"ctrl",0.211395927933206,0.0104016812655632,20.3232460730242
"3",1.5,"ctrl",0.350573162508429,0.0338485879973028,10.357098574876
"4",2,"ctrl",0.467118382249684,0.0632300747086084,7.38759813905595
"5",2.5,"ctrl",0.544265091863517,0.106615451668541,5.10493632344767
"6",3,"ctrl",0.600676035700013,0.176073577993872,3.41150581787415
"7",0.5,"near",0.0848878075155448,0.00133766828872668,63.459534946701
"8",1,"near",0.196020121319722,0.0098597100162746,19.8809215480139
"9",1.5,"near",0.327658924205379,0.0307938484107579,10.6404019346575
"10",2,"near",0.416449682005238,0.0595796263374485,6.98980016501848
"11",2.5,"near",0.486707361046721,0.0986290058208417,4.93472845027779
"12",3,"near",0.578510579829624,0.164555537510305,3.51559472614767
"13",0.5,"far",0.0739801816680429,0.00149562180016515,49.4644980835889
"14",1,"far",0.224570154555417,0.0109144692589654,20.5754534853768
"15",1.5,"far",0.376810543162949,0.0318500395118536,11.8307716077624
"16",2,"far",0.439697160002791,0.0597415373665481,7.35999070973016
"17",2.5,"far",0.509811517749203,0.100499338388834,5.07278481552518
"18",3,"far",0.537275066811838,0.164294045276509,3.27020413860768
