video,species,position,fin,size,speed,Blspeed,freq,heave,pitch,secPhaseTop,secPhaseBot,angPhaseTop,angPhaseBot,secFreqDor,secFreqCaud,cmAmpDor,cmAmpCaud,ratioAmp,frameRate
DLTdv6_data_coral_18cm_ctrl_141rpm_2.10_.5hz_50fpsxypts.far,coral,far,anal,18,141,,0.5,2,10,0.22,0.24,41.25,45,0.520833333,0.510204082,5.787011456,9.019044462,0.641643522,50
DLTdv6_data_coral_18cm_ctrl_171rpm_2.10_1.0hz_100fpsxypts.far,coral,far,anal,18,171,,1,2,10,0.2,0.21,75,78.75,1.041666667,1.020408163,4.712859616,7.256787122,0.649441624,100
DLTdv6_data_coral_18cm_ctrl_200rpm_2.10_1.5hz_100fpsxypts.far,coral,far,anal,18,200,,1.5,2,10,0.16,0.15,84.70588235,79.41176471,1.470588235,1.515151515,4.761483774,6.25115114,0.761697113,100
DLTdv6_data_coral_18cm_ctrl_273rpm_2.10_2.0hz_100fpsxypts.far,coral,far,anal,18,273,,2,2,10,0.12,0.12,86.4,86.4,2,2,5.426750654,6.429439717,0.84404721,100
DLTdv6_data_coral_18cm_ctrl_404rpm_2.10_2.5hz_250fpsxypts.far,coral,far,anal,18,404,,2.5,2,10,0.096,0.072,81.50943396,61.13207547,2.358490566,2.659574468,6.341400523,7.324934615,0.865727936,250
DLTdv6_data_pink_18cm_ctrl_065rpm_2.10_.5hz_50fpsxypts.far,pink,far,anal,18,65,,0.5,2,10,0.48,0.54,90,101.25,0.520833333,0.490196078,4.445795115,6.566471433,0.677044766,50
DLTdv6_data_pink_18cm_ctrl_172rpm_2.10_1.0hz_100fpsxypts.far,pink,far,anal,18,172,,1,2,10,0.24,0.25,88.16326531,91.83673469,1.020408163,1,6.026448595,7.010719417,0.859604876,100
DLTdv6_data_pink_18cm_ctrl_286rpm_2.10_1.5hz_100fpsxypts.far,pink,far,anal,18,286,,1.5,2,10,0.15,0.15,79.41176471,79.41176471,1.470588235,1.470588235,6.632040373,7.505065016,0.883675272,100
DLTdv6_data_pink_18cm_ctrl_324rpm_2.10_2.0hz_100fpsxypts.far,pink,far,anal,18,324,,2,2,10,0.13,0.11,90,76.15384615,1.923076923,2.083333333,6.277768925,7.276678823,0.862724476,100
DLTdv6_data_pink_18cm_ctrl_374rpm_2.10_2.5hz_250fpsxypts.far,pink,far,anal,18,374,,2.5,2,10,0.12,0.12,110.2040816,110.2040816,2.551020408,2.551020408,5.661030685,6.930784249,0.81679511,250
DLTdv6_data_pink_18cm_ctrl_393rpm_2.10_3.0hz_250fpsxypts.far,pink,far,anal,18,393,,3,2,10,0.108,0.112,118.5365854,122.9268293,3.048780488,2.976190476,5.446650569,6.721921391,0.810281801,250
DLTdv6_data_coral_18cm_ctrl_141rpm_2.10_.5hz_50fpsxypts.near,coral,near,anal,18,141,,0.5,2,10,0.12,0.16,22.9787234,30.63829787,0.531914894,0.510204082,6.379710465,9.019044462,0.707359909,50
DLTdv6_data_coral_18cm_ctrl_171rpm_2.10_1.0hz_100fpsxypts.near,coral,near,anal,18,171,,1,2,10,0.13,0.11,45.88235294,38.82352941,0.980392157,1.020408163,4.499208016,7.256787122,0.62,100
DLTdv6_data_coral_18cm_ctrl_200rpm_2.10_1.5hz_100fpsxypts.near,coral,near,anal,18,200,,1.5,2,10,0.11,0.11,60,60,1.515151515,1.515151515,3.987917634,6.25115114,0.637949322,100
DLTdv6_data_coral_18cm_ctrl_273rpm_2.10_2.0hz_100fpsxypts.near,coral,near,anal,18,273,,2,2,10,0.09,0.08,62.30769231,55.38461538,1.923076923,2,4.544885254,6.429439717,0.706886674,100
DLTdv6_data_coral_18cm_ctrl_404rpm_2.10_2.5hz_250fpsxypts.near,coral,near,anal,18,404,,2.5,2,10,0.064,0.056,58.7755102,51.42857143,2.551020408,2.659574468,5.654768483,7.324934615,0.771988936,250
DLTdv6_data_pink_18cm_ctrl_065rpm_2.10_.5hz_50fpsxypts.near,pink,near,anal,18,65,,0.5,2,10,0.3,0.32,54,57.6,0.5,0.490196078,3.613658968,6.566471433,0.550319758,50
DLTdv6_data_pink_18cm_ctrl_172rpm_2.10_1.0hz_100fpsxypts.near,pink,near,anal,18,172,,1,2,10,0.16,0.17,58.7755102,62.44897959,1.020408163,1,5.437064869,7.010719417,0.775535939,100
DLTdv6_data_pink_18cm_ctrl_286rpm_2.10_1.5hz_100fpsxypts.near,pink,near,anal,18,286,,1.5,2,10,0.1,0.11,54.54545455,60,1.515151515,1.470588235,6.383762478,7.505065016,0.850593894,100
DLTdv6_data_pink_18cm_ctrl_324rpm_2.10_2.0hz_100fpsxypts.near,pink,near,anal,18,324,,2,2,10,0.1,0.08,69.23076923,55.38461538,1.923076923,2.083333333,6.342778723,7.276678823,0.871658469,100
DLTdv6_data_pink_18cm_ctrl_374rpm_2.10_2.5hz_250fpsxypts.near,pink,near,anal,18,374,,2.5,2,10,0.08,0.08,73.46938776,73.46938776,2.551020408,2.551020408,6.021291487,6.930784249,0.868774914,250
DLTdv6_data_pink_18cm_ctrl_393rpm_2.10_3.0hz_250fpsxypts.near,pink,near,anal,18,393,,3,2,10,0.072,0.076,79.02439024,83.41463415,3.048780488,2.976190476,5.972836372,6.721921391,0.888560878,250
