type,basisofrecord,year,highergeography,continent,islandgroup,island,country,decimallatitude,decimallongitude,geodeticdatum,genus,specificepithet,infraspecificepithet,col
PhysicalObject,PreservedSpecimen,1982,"West Indies, United States, Virgin Islands of the United States, Greater Antilles",West Indies,Greater Antilles,Saint Croix,USVI,17.728253,-64.756679,World Geodetic System 1984,Anolis,acutus,,#a87e95
PhysicalObject,PreservedSpecimen,1969,Caribbean; USA; Virgin Ids.; Saint Croix Id.,Caribbean,Virgin Ids.,Saint Croix,USVI,17.73021944,-64.79559444,WGS84,Anolis,acutus,,#a87e95
PhysicalObject,PreservedSpecimen,1970,Caribbean; USA; Virgin Ids.; Saint Croix Id.,Caribbean,Virgin Ids.,Saint Croix,USVI,17.73766944,-64.89053333,WGS84,Anolis,acutus,,#a87e95
PhysicalObject,PreservedSpecimen,1967,Caribbean; USA; Virgin Ids.; Saint Croix Id.,Caribbean,Virgin Ids.,Saint Croix,USVI,17.73975,-64.88442222,WGS84,Anolis,acutus,,#a87e95
PhysicalObject,PreservedSpecimen,1970,Caribbean; USA; Virgin Ids.; Saint Croix Id.,Caribbean,Virgin Ids.,Saint Croix,USVI,17.74108611,-64.88866389,WGS84,Anolis,acutus,,#a87e95
PhysicalObject,PreservedSpecimen,1970,Caribbean; USA; Virgin Ids.; Saint Croix Id.,Caribbean,Virgin Ids.,Saint Croix,USVI,17.74230833,-64.88920556,WGS84,Anolis,acutus,,#a87e95
PhysicalObject,PreservedSpecimen,1967,Caribbean; USA; Virgin Ids.; Saint Croix Id.,Caribbean,Virgin Ids.,Saint Croix,USVI,17.74404167,-64.87817778,WGS84,Anolis,acutus,,#a87e95
PhysicalObject,PreservedSpecimen,1979,| Virgin Islands | St. Croix Island | - |  |  |  |,North America,Virgin Islands,Saint Croix,USVI,17.75,-64.75,not recorded (forced WGS84),Anolis,acutus,,#a87e95
PhysicalObject,PreservedSpecimen,1969,Caribbean; USA; Virgin Ids.; Saint Croix Id.,Caribbean,Virgin Ids.,Saint Croix,USVI,17.75328611,-64.86561944,WGS84,Anolis,acutus,,#a87e95
PhysicalObject,PreservedSpecimen,,Grenada,North America,,,Grenada,12.01075,-61.7818333,not recorded,Anolis,aeneus,,#dfb137
PhysicalObject,PreservedSpecimen,1992,"Grenada, St. George",,,,Grenada,12.02,-61.77,not recorded,Anolis,aeneus,,#dfb137
PhysicalObject,PreservedSpecimen,1968,"West Indies, Grenada, Saint Andrew Parish, Lesser Antilles, Grenada",West Indies,Lesser Antilles,Grenada,Grenada,12.13333,-61.61667,World Geodetic System 1984,Anolis,aeneus,,#dfb137
PhysicalObject,PreservedSpecimen,1910,Caribbean; Grenada; Saint Patrick Parish; Windward Ids.; Grenada Id.,Caribbean,Windward Ids.,Grenada Id.,Grenada,12.224325,-61.63801389,WGS84,Anolis,aeneus,,#dfb137
PhysicalObject,PreservedSpecimen,1937,"Grenadines, Mayreau Island",,,,Saint Vincent and the Grenadines,12.6389,-61.3917,not recorded,Anolis,aeneus,,#dfb137
PhysicalObject,PreservedSpecimen,1989,Caribbean; Saint Vincent & The Grenadines; Windward Ids.; Bequia Id.,Caribbean,Windward Ids.,Bequia Id.,Saint Vincent and the Grenadines,12.99079722,-61.23713056,WGS84,Anolis,aeneus,,#dfb137
PhysicalObject,PreservedSpecimen,1968,"West Indies, Saint Vincent and the Grenadines, Bequia, Lesser Antilles, Bequia",West Indies,Lesser Antilles,Bequia,Saint Vincent and the Grenadines,13,-61.25,World Geodetic System 1984,Anolis,aeneus,,#dfb137
PhysicalObject,PreservedSpecimen,1937,"Grenadines, Bequia",,,,Saint Vincent and the Grenadines,13.0111,-61.2306,not recorded,Anolis,aeneus,,#dfb137
PhysicalObject,PreservedSpecimen,1964,"West Indies, Saint Vincent and the Grenadines, Bequia, Lesser Antilles, Saint Vincent",West Indies,Lesser Antilles,Saint Vincent,Saint Vincent and the Grenadines,13.28333,-61.13333,World Geodetic System 1984,Anolis,aeneus,,#dfb137
PhysicalObject,FossilSpecimen,1967,Central America: Cuba: Granma Province: West Indies: Greater Antilles: Cuba,Central America,West Indies: Greater Antilles,Cuba,Cuba,19.85,-77.73333,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1956,"Cuba, Oriente",,,,Cuba,19.8645,-77.7333,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,FossilSpecimen,1959,Central America: Cuba: Granma Province: West Indies: Greater Antilles: Cuba,Central America,West Indies: Greater Antilles,Cuba,Cuba,20.2103,-77.3592,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,FossilSpecimen,1954,Central America: Cuba: Camag??ey Province: West Indies: Greater Antilles: Cuba,Central America,West Indies: Greater Antilles,Cuba,Cuba,20.7147,-77.9956,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,FossilSpecimen,1957,Central America: Cuba: Camag??ey Province: West Indies: Greater Antilles: Cuba,Central America,West Indies: Greater Antilles,Cuba,Cuba,20.74235,-77.92465,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,FossilSpecimen,1959,Central America: Cuba: Las Tunas Province: West Indies: Greater Antilles: Cuba,Central America,West Indies: Greater Antilles,Cuba,Cuba,20.85,-77.1833,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,FossilSpecimen,1959,Central America: Cuba: Camag??ey Province: West Indies: Greater Antilles: Cuba,Central America,West Indies: Greater Antilles,Cuba,Cuba,21.28754,-78.10568,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,FossilSpecimen,1909,Central America: Cuba: Camag??ey Province: West Indies: Greater Antilles: Cuba,Central America,West Indies: Greater Antilles,Cuba,Cuba,21.28754,-78.01895,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,,"Cuba, Camaguey",,,,Cuba,21.3808,-77.9169,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,FossilSpecimen,1957,Central America: Cuba: Las Tunas Province: West Indies: Greater Antilles: Cuba,Central America,West Indies: Greater Antilles,Cuba,Cuba,21.38107,-77.0408,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,FossilSpecimen,1957,Central America: Cuba: Camag??ey Province: West Indies: Greater Antilles: Cuba,Central America,West Indies: Greater Antilles,Cuba,Cuba,21.38333,-78.00345,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,FossilSpecimen,1957,Central America: Cuba: Camag??ey Province: West Indies: Greater Antilles: Cuba,Central America,West Indies: Greater Antilles,Cuba,Cuba,21.44429,-77.0408,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,FossilSpecimen,1959,Central America: Cuba: Camag??ey Province: West Indies: Greater Antilles: Cuba,Central America,West Indies: Greater Antilles,Cuba,Cuba,21.5617,-77.0408,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1946,Caribbean; Cuba; Cuba Id.,Caribbean,,Cuba Id.,Cuba,21.73712222,-79.41169722,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1995,"Cuba, Matanzas",,,,Cuba,22.0669,-81.0317,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1942,Caribbean; Cuba; Cienfuegos Prov.; Cuba Id.,Caribbean,,Cuba Id.,Cuba,22.1444,-80.4403,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,2002,"West Indies, Cuba, Provincia Matanzas, Greater Antilles, Cuba",West Indies,Greater Antilles,Cuba,Cuba,22.281,-81.1945,World Geodetic System 1984,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1994,"Cuba, Matanzas",,,,Cuba,22.2897,-81.1972,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1956,"Cuba, Cienfuegos",,,,Cuba,22.3333,-80.55,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1988,"Cuba, Matanzas",,,,Cuba,22.3773,-81.1582,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,FossilSpecimen,1936,Central America: Cuba: Matanzas Province: West Indies: Greater Antilles: Cuba,Central America,West Indies: Greater Antilles,Cuba,Cuba,22.4167,-81.5,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,FossilSpecimen,1912,Central America: Cuba: Cienfuegos Province: West Indies: Greater Antilles: Cuba,Central America,West Indies: Greater Antilles,Cuba,Cuba,22.4667,-80.4667,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1928,"Cuba, Villa Clara",,,,Cuba,22.5526,-79.822,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,FossilSpecimen,1956,Central America: Cuba: Pinar del R?¡o Province: West Indies: Greater Antilles: Cuba,Central America,West Indies: Greater Antilles,Cuba,Cuba,22.6164,-83.7078,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,2002,"West Indies, Cuba, Provincia Matanzas, Greater Antilles, Cuba",West Indies,Greater Antilles,Cuba,Cuba,23.035272,-81.207177,World Geodetic System 1984,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,,"Cuba, La Habana",,,,Cuba,23.1319,-82.1667,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,2007,"Honduras, Atl?â?íntida",,,,Honduras,15.78,-86.78,not recorded,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1988,"Honduras, Islas De La Bahia",North America,,,Honduras,15.9333,-86.4667,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1988,"Honduras, Islas De La Bahia",North America,,,Honduras,15.97763,-86.46348,NAD27,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1988,"Honduras, Islas De La Bahia",North America,,,Honduras,15.98373,-86.46583,NAD27,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1989,"Honduras, Islas de la Bah?â?¡a, Islas de la Bah?â?¡a, Isla de Roat?â?ín",,,Isla de Roat?â?ín,Honduras,16.27,-86.62,not recorded,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1989,"Honduras, Islas de la Bah?â?¡a, Islas de la Bah?â?¡a, Isla de Roat?â?ín",,,Isla de Roat?â?ín,Honduras,16.27,-86.58,not recorded,Anolis,allisoni,,#a20022
PhysicalObject,FossilSpecimen,2012,Central America: Honduras: Islas de la Bahia,Central America,,,Honduras,16.278826,-86.598955,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1989,"Honduras, Islas de la Bah?â?¡a, Islas de la Bah?â?¡a, Isla de Roat?â?ín",,,Isla de Roat?â?ín,Honduras,16.3,-86.6,not recorded,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,2004,"Honduras, Islas de la Bah?â?¡a, Islas de la Bah?â?¡a, Isla de Roat?â?ín",,,Isla de Roat?â?ín,Honduras,16.3,-86.57,not recorded,Anolis,allisoni,,#a20022
PhysicalObject,FossilSpecimen,1971,| Honduras |  |  |  |  |  |,North America,,,Honduras,16.3,-86.55,not recorded,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1967,| Honduras | Islas de la Bahia | - |  |  |  |,North America,Islas de la Bah?¡a,,Honduras,16.30645,-86.55556,NAD27,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,2010,"Honduras, Islas de la Bah?â?¡a, Islas de la Bah?â?¡a, Isla de Roat?â?ín",,,Isla de Roat?â?ín,Honduras,16.3102,-86.5928,not recorded,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1967,| Honduras | Islas de la Bahia | - |  |  |  |,North America,Islas de la Bah?¡a,,Honduras,16.31465,-86.54259,NAD27,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1967,| Honduras | Islas de la Bahia | - |  |  |  |,North America,Islas de la Bah?¡a,,Honduras,16.31967,-86.53889,NAD27,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1974,"Honduras, Islas De La Bahia",North America,,,Honduras,16.32968,-86.56528,NAD27,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,2008,"Central America, Honduras, Bay Islands, Islas de la Bahia",Central America,Islas de la Bahia,,Honduras,16.33841,-86.55511,World Geodetic System 1984,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1971,North America | Honduras | Islas de la Bah?¡a | ISLA DE ROATAN |  |  |  |,North America,,,Honduras,16.34,-86.54,NAD27,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1948,North America | Honduras | Islas de la Bah?¡a | ISLA DE ROATAN |  |  |  |,North America,,,Honduras,16.38,-86.5,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1947,North America | Honduras | Islas de la Bah?¡a | ISLA DE ROATAN |  |  |  |,North America,,,Honduras,16.38,-86.34,NAD27,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1976,"Central America, Honduras, Bay Islands, Islas de la Bahia, Isla de Roatan",Central America,Islas de la Bahia,Isla de Roatan,Honduras,16.3833,-86.5,World Geodetic System 1984,Anolis,allisoni,,#a20022
PhysicalObject,FossilSpecimen,1975,Central America: Honduras: Islas de la Bahia,Central America,,,Honduras,16.38979912,-86.34960175,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1989,"Honduras, Islas de la Bah?â?¡a, Islas de la Bah?â?¡a, Isla de Barbareta",,,Isla de Barbareta,Honduras,16.4,-86.13,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,FossilSpecimen,1976,Central America: Honduras: Islas de la Bahia,Central America,,,Honduras,16.40259933,-86.28520203,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1967,"Honduras, Islas De La Bahia",North America,,,Honduras,16.40515,-85.88388,NAD27,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,2004,"Honduras, Islas de la Bah?â?¡a, Islas de la Bah?â?¡a, Isla de Roat?â?ín",,,Isla de Roat?â?ín,Honduras,16.42,-86.33,not recorded,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1989,"Honduras, Islas de la Bah?â?¡a, Islas de la Bah?â?¡a, Isla de Roat?â?ín",,,Isla de Roat?â?ín,Honduras,16.42,-86.22,not recorded,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,2010,"Honduras, Islas de la Bah?â?¡a, Islas de la Bah?â?¡a, Isla de Roat?â?ín",,,Isla de Roat?â?ín,Honduras,16.4249,-86.2713,not recorded,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1947,North America | Honduras | Islas de la Bah?¡a | ISLA DE LA BARBARETA |  |  |  |,North America,,,Honduras,16.43,-86.14,NAD27,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1967,| Honduras | Islas de la Bahia | - |  |  |  |,North America,Islas de la Bah?¡a,,Honduras,16.44428,-85.89326,NAD27,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,2007,"Honduras, Islas de la Bah?â?¡a, Islas de la Bah?â?¡a, Isla de Guanaja",,,Isla de Guanaja,Honduras,16.45,-85.88,not recorded,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1966,"Honduras, Islas De La Bahia",North America,,,Honduras,16.5,-85.9167,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1947,North America | Honduras | Islas de la Bah?¡a | ISLA DE BONACA |  |  |  |,North America,,,Honduras,16.5,-85.91,WGS84,Anolis,allisoni,,#a20022
PhysicalObject,PreservedSpecimen,1936,North America | Bahamas |  |  |  |  | Southern Exuma Cays | Long Island,North America,Southern Exuma Cays,Long Island,Bahamas,23.09,-74.96,WGS84,Anolis,angusticeps,oligaspis,#90ffff
PhysicalObject,PreservedSpecimen,,,,,,Bahamas,24.886,-76.7099,not recorded,Anolis,angusticeps,oligaspis,#90ffff
PhysicalObject,PreservedSpecimen,1980,North America | Bahamas |  |  |  |  | Andros Island | North Andros,North America,Andros Island,North Andros,Bahamas,24.89,-77.93,WGS84,Anolis,angusticeps,,#90ffff
Event,Occurrence,1960,"North America, The Bahamas",North America,,,Bahamas,25.0451701,-77.3365402,WGS84,Anolis,angusticeps,,#90ffff
PhysicalObject,PreservedSpecimen,1941,North America; Atlantic Ocean; Caribbean Sea; Bahamas; New Providence Island; Nassau,North America,,,Bahamas,25.0833,-77.3333,not recorded,Anolis,angusticeps,,#90ffff
