Digitizer,ID,Sex,Species,Island,Species#,friends,Ecomorph,SVLruler,Taillength,Footlamellae,Handlamellae,SVL1,SVL2,Humerus,Ulna,Forelimb,Femur,Tibia,Hindlimb,Pectoral,Pelvic,MBlength,Headlength,HeadDepth,Jawlength,EyeDiam,logSVL,logtail,logfootlamellae,loghandlamellae,logforelimb,loghindlimb,logpectoral,logpelvic,logheadlength,logheaddepth,logjawlength,logeyediamter
Lela,acutus-F-10128,F,acutus,St. Croix,1,2,,39,80,34,19,35.5167179,58.8975669,9.50432028,6.22912298,15.7334433,14.4242714,8.68110244,23.1053739,9.90472385,7.90177248,16.6858327,17.8707147,10.1743945,14.7208621,3.47430241,1.59106461,1.90308999,1.53147892,1.2787536,1.19682378,1.363713,0.99584237,0.89772452,1.25214192,1.00750857,1.16793325,0.54086762
Lela,acutus-F-127440,F,acutus,St. Croix,1,2,,38,78,35,21,36.7326258,64.5378492,12.3620377,6.39699996,18.7590376,16.4021819,7.57136407,23.9735459,5.37403622,5.17098024,14.5831054,16.106541,12.547326,13.0108332,3.69116066,1.5797836,1.8920946,1.54406804,1.32221929,1.27321055,1.37973228,0.73030059,0.71357288,1.20700228,1.09855118,1.11430511,0.56716295
Lela,acutus-F-34775,F,acutus,St. Croix,1,2,,42,84,34,22,36.3810053,67.2835036,17.523572,6.3691068,23.8926788,12.6193558,8.14480795,20.7641637,6.25802141,5.82458914,15.7771448,10.9773871,,8.15425464,4.0550036,1.62324929,1.92427929,1.53147892,1.34242268,1.37826484,1.31731444,0.79643704,0.7652653,1.04049898,,0.91138427,0.60799124
Lela,acutus-F-42373,F,acutus,St. Croix,1,2,,39,68,34,20,30.6446348,61.5322291,10.5682635,6.76452701,17.3327905,10.6565695,7.28308535,17.9396549,8.38044564,,14.904904,8.8360312,11.2879309,6.79132195,4.05400839,1.59106461,1.83250891,1.53147892,1.30103,1.23886849,1.25381408,0.92326711,,0.94625724,1.05261434,0.83195432,0.60788464
Lela,acutus-F-92647,F,acutus,St. Croix,1,2,,44,79,34,20,40.6196443,64.9073111,14.2974208,6.34026277,20.6376836,12.3103367,11.459432,23.7697687,6.73434002,,16.2670431,16.3688,11.6994674,12.9989683,4.32165238,1.64345268,1.89762709,1.53147892,1.30103,1.31466095,1.37602496,0.82829504,,1.21401684,1.06816609,1.11390889,0.63564983
Lela,acutus-M-127449,M,acutus,St. Croix,1,2,,63,127,37,24,53.51328,79.8693155,15.7318669,9.68050028,25.4123672,15.7662791,13.6235608,29.3898399,9.35417287,8.45568935,25.5158098,20.1370166,5.96885422,15.2189469,5.9693615,1.79934055,2.10380372,1.56820172,1.38021124,1.40504512,1.46819722,0.97100539,0.92714902,1.30399513,0.77589097,1.1823846,0.77592788
Lela,acutus-M-34756,M,acutus,St. Croix,1,2,,55,111,38,23,48.237413,69.4904771,15.6216435,5.6407861,21.2624296,13.368027,7.50628916,20.8743161,8.38766812,7.59713731,20.2356178,21.5521924,,17.9276964,5.09709528,1.74036269,2.04532298,1.5797836,1.36172784,1.32761289,1.31961226,0.92364124,0.88064998,1.33349146,,1.25352449,0.70732275
Lela,acutus-M-34759,M,acutus,St. Croix,1,2,,62,116,34,20,54.8169004,78.7172512,14.1911512,8.07642129,22.2675724,22.7459419,11.5562506,34.3021924,9.44560494,7.12570029,22.8057848,20.839314,4.28214316,15.6389646,5.70412162,1.79239169,2.06445799,1.53147892,1.30103,1.34767287,1.53532188,0.97522978,0.85282755,1.31888342,0.63166118,1.194208,0.75618878
Lela,acutus-M-34764,M,acutus,St. Croix,1,2,,60,111,40,23,51.502304,81.2464771,14.4081198,8.63709694,23.0452167,14.81688,11.815978,26.6328579,9.07893561,9.06273208,23.548669,18.0968332,3.43313329,13.6715199,5.83326987,1.77815125,2.04532298,1.60205999,1.36172784,1.3625808,1.42541777,0.95803494,0.95725914,1.25760258,0.53569067,1.1358168,0.76591207
Lela,acutus-M-92650,M,acutus,St. Croix,1,2,,56,104,34,21,47.1605602,81.5155104,17.9091419,7.22872787,25.1378698,15.891735,11.6606012,27.5523361,6.72291898,6.73766237,21.1105284,16.2466906,,11.6059611,4.56932856,1.74818803,2.01703334,1.53147892,1.32221929,1.40032847,1.44015843,0.82755788,0.82850924,1.21076491,,1.06468111,0.65985239
