Site,Treatment,LizardTag,Sex,Year,Date,TOD,Substrate,Light,Orientation,PerchHeight,PerchDiam,SagLength,Notes,SVL,HeadLength,HeadWidth,Humerus,Ulna,Foreleg,Femur,Tibia,Hindleg,Mass,BodyCond,TailLength,TailRegen,2ndFTArea,2ndFTLam,4thHTArea,4thHTLam
IR1,1,R-055,1,0,7/9/2017,11:00,TRUNK,SUN,SDOWN,70,33,58,,56,16.84,8.93,8.6,7.13,15.73,10.19,9.23,19.42,3.74,0.066785714,9.3,Y,2.545,15,4.193,22
IR1,1,R-056,0,0,7/9/2017,11:20,NEEDLES,SHADE,UP,240,1,47,,46,12.29,6.77,6.88,5.84,12.72,8.28,7.83,16.11,1.81,0.039347826,6.3,Y,1.099,13,2.494,22
IR1,1,R-057,1,0,7/9/2017,11:20,BRANCH,HALF,SUP,145,1,55,,55,16.87,8.48,8.3,7.33,15.63,9.44,9,18.44,3.97,0.072181818,12.3,N,1.98,15,3.693,22
IR1,1,R-058,1,0,7/9/2017,12:45,TRUNK,CLOUDY,UP,175,5,56,,51,15.3,7.97,7.85,7.01,14.86,9.93,9.1,19.03,3.01,0.059019608,12.1,N,2.08,16,3.432,22
IR1,1,R-059,0,0,7/9/2017,13:05,TRUNK,CLOUDY,UP,82,1,49,,47,13.14,7.48,7.18,5.24,12.42,8.51,7.79,16.3,2.6,0.055319149,10.4,N,1.483,14,2.646,22
IR1,1,R-060,0,0,7/9/2017,13:45,TRUNK,CLOUDY,UP,91,6,45,,46,11.56,6.79,7.21,5.64,12.85,8.46,7.66,16.12,2.26,0.049130435,7.7,Y,1.178,14,2.2,21
IR1,1,R-061,0,0,7/9/2017,13:52,NEEDLES,CLOUDY,SUP,152,1,48,,48,13.3,7.27,7.15,5.75,12.9,9.08,8.08,17.16,2.86,0.059583333,11.1,N,1.624,15,3.111,21
IR1,1,R-062,1,0,7/9/2017,14:45,TRUNK,CLOUDY,UP,250,3,51,,56,16.92,8.16,8.07,7.11,15.18,11.05,9.69,20.74,3.81,0.068035714,11.1,Y,2.164,16,3.563,23
IR1,1,R-063,1,0,7/9/2017,14:45,TRUNK,CLOUDY,UP,195,2,58,,53,16.33,8.85,8.69,7.14,15.83,10.26,9.29,19.55,3.62,0.068301887,12.1,N,2.048,16,3.312,23
IR1,1,R-064,1,0,7/10/2017,10:40,BRANCH,SUN,DOWN,92,4,58,,56,16.88,8.97,8.7,6.84,15.54,10,9.53,19.53,3.48,0.062142857,12.3,N,1.806,14,3.684,22
IR1,1,R-065,1,0,7/10/2017,10:50,TRUNK,SUN,DOWN,200,1,54,,57,16.19,9.05,8.93,7.34,16.27,10.38,9.51,19.89,3.67,0.064385965,12.7,N,1.989,16,3.697,23
IR1,1,R-066,0,0,7/10/2017,12:25,NEEDLES,SHADE,SUP,77,1,46,,48,12.36,7.04,6.91,6.05,12.96,8.13,7.77,15.9,2.3,0.047916667,10.1,N,1.122,14,2.081,21
IR1,1,R-067,1,0,7/10/2017,13:20,BRANCH,SHADE,SDOWN,227,1,58,,57,16.82,8.97,8.44,6.94,15.38,10.14,9.02,19.16,3.86,0.067719298,10,Y,1.942,14,3.566,21
IR1,1,R-068,0,0,7/10/2017,14:30,LEAF,HALF,SUP,290,3,47,,46,13.15,6.68,6.86,5.44,12.3,8.3,8.1,16.4,2.88,0.062608696,9.5,N,1.284,14,2.35,21
IR1,1,R-069,0,0,7/11/2017,8:40,BRANCH,HALF,HOR,25,1,44,,43,12.23,6.57,6.8,5.46,12.26,9.34,7.75,17.09,1.9,0.044186047,9.8,N,1.066,14,1.657,20
IR1,1,R-070,1,0,7/11/2017,8:45,TRUNK,SHADE,DOWN,107,1,60,,55,16.26,8.65,8.34,7.09,15.43,10.75,9.7,20.45,3.62,0.065818182,9.1,Y,2.04,16,3.923,23
IR1,1,R-071,1,0,7/11/2017,9:35,BRANCH,SUN,NA,400,1,56,,54,15.8,8.4,8.62,6.41,15.03,10.35,8.72,19.07,3.19,0.059074074,12.4,N,1.931,15,3.126,21
IR1,1,R-072,0,0,7/11/2017,12:10,BRANCH,HALF,SUP,290,1,47,,46,12.56,6.58,7.35,5.71,13.06,8.82,7.77,16.59,2.29,0.049782609,8.3,Y,1.38,15,2.305,20
