date	block	trap	height	lures	M.mutator_tot	M.mutatormales	M.mutatorfemales	M.scutellatus_tot	M.notatus_tot	Monochamus_tot	Acanthocinus
I	I	I	high 	plain	0	0	0	1	0	1	0
I	II	I	high 	plain	1	0	1	0	0	1	2
I	III	I	high 	plain	2	1	1	0	0	2	1
I	IV	I	high 	plain	0	0	0	0	0	0	1
I	V	I	high 	plain	1	1	0	0	0	1	1
I	VI	I	high 	plain	0	0	0	0	0	0	1
I	I	II	low	plain	3	2	1	0	0	3	0
I	II	II	low	plain	2	2	0	0	0	2	1
I	III	II	low	plain	0	0	0	0	0	0	2
I	IV	II	low	plain	3	2	1	0	0	3	0
I	V	II	low	plain	2	1	1	1	0	3	0
I	VI	II	low	plain	0	0	0	0	0	0	3
I	I	III	high 	monochamol	0	0	0	0	0	0	1
I	II	III	high 	monochamol	3	1	2	0	0	3	0
I	III	III	high 	monochamol	4	1	3	0	0	4	0
I	IV	III	high 	monochamol	3	2	1	0	0	3	0
I	V	III	high 	monochamol	8	4	4	0	0	8	0
I	VI	III	high 	monochamol	1	1	0	0	0	1	0
I	I	IV	low	monochamol	1	1	0	3	0	4	0
I	II	IV	low	monochamol	2	1	1	0	0	2	0
I	III	IV	low	monochamol	2	1	1	4	1	7	1
I	IV	IV	low	monochamol	4	2	2	1	0	5	0
I	V	IV	low	monochamol	1	1	0	2	0	3	3
I	VI	IV	low	monochamol	2	0	2	3	0	5	0
II	I	I	low	monochamol	9	2	7	1	1	11	1
II	II	I	low	monochamol	7	3	4	2	1	10	2
II	III	I	low	monochamol	12	1	11	4	1	17	0
II	IV	I	low	monochamol	29	10	19	8	0	37	5
II	V	I	low	monochamol	30	11	19	3	5	38	2
II	VI	I	low	monochamol	37	18	19	1	1	39	3
II	I	II	high 	plain	0	0	0	0	0	0	3
II	II	II	high 	plain	1	1	0	0	0	1	1
II	III	II	high 	plain	4	2	2	0	0	4	1
II	IV	II	high 	plain	8	5	3	0	0	8	1
II	V	II	high 	plain	7	1	6	0	0	7	7
II	VI	II	high 	plain	5	3	2	0	0	5	3
II	I	III	low	plain	3	1	2	0	1	4	3
II	II	III	low	plain	4	4	0	0	0	4	3
II	III	III	low	plain	8	3	5	1	1	10	2
II	IV	III	low	plain	14	8	6	1	0	15	1
II	V	III	low	plain	9	7	2	1	0	10	6
II	VI	III	low	plain	5	1	4	0	0	5	1
II	I	IV	high 	monochamol	5	2	3	1	2	8	0
II	II	IV	high 	monochamol	7	7	0	0	0	7	0
II	III	IV	high 	monochamol	7	2	5	0	1	8	0
II	IV	IV	high 	monochamol	6	3	3	0	1	7	0
II	V	IV	high 	monochamol	12	5	7	2	0	14	1
II	VI	IV	high 	monochamol	8	5	3	1	1	10	1
III	I	I	high 	monochamol	0	0	0	0	0	0	1
III	II	I	high 	monochamol	0	0	0	0	0	0	0
III	III	I	high 	monochamol	0	0	0	0	0	0	1
III	IV	I	high 	monochamol	2	2	0	0	0	2	0
III	V	I	high 	monochamol	4	1	3	0	0	4	0
III	VI	I	high 	monochamol	5	1	4	0	0	5	0
III	I	II	low	monochamol	3	2	1	1	0	4	3
III	II	II	low	monochamol	2	1	1	1	0	3	0
III	III	II	low	monochamol	1	0	1	0	0	1	0
III	IV	II	low	monochamol	6	0	6	1	1	8	2
III	V	II	low	monochamol	3	1	2	0	0	3	1
III	VI	II	low	monochamol	8	2	6	2	0	10	1
III	I	III	high 	plain	0	0	0	0	0	0	4
III	II	III	high 	plain	0	0	0	1	0	1	0
III	III	III	high 	plain	2	2	0	0	0	2	0
III	IV	III	high 	plain	1	0	1	0	0	1	0
III	V	III	high 	plain	0	0	0	0	0	0	0
III	VI	III	high 	plain	2	1	1	0	0	2	1
III	I	IV	low	plain	3	2	1	0	0	3	0
III	II	IV	low	plain	1	1	0	0	0	1	1
III	III	IV	low	plain	3	2	1	0	0	3	1
III	IV	IV	low	plain	4	2	2	0	0	4	1
III	V	IV	low	plain	2	2	0	0	0	2	0
III	VI	IV	low	plain	4	2	2	0	0	4	0
IV	I	I	low	plain	1	0	1	0	0	1	0
IV	II	I	low	plain	2	1	1	0	0	2	2
IV	III	I	low	plain	0	0	0	0	0	0	0
IV	IV	I	low	plain	5	2	3	0	0	5	4
IV	V	I	low	plain	3	2	1	0	0	3	2
IV	VI	I	low	plain	8	1	7	1	0	9	0
IV	I	II	high 	monochamol	0	0	0	1	0	1	1
IV	II	II	high 	monochamol	1	0	1	2	1	4	1
IV	III	II	high 	monochamol	0	0	0	0	0	0	0
IV	IV	II	high 	monochamol	5	2	3	0	0	5	0
IV	V	II	high 	monochamol	1	0	1	0	1	2	3
IV	VI	II	high 	monochamol	5	2	3	1	0	6	2
IV	I	III	low	monochamol	4	1	3	1	1	6	2
IV	II	III	low	monochamol	7	3	4	2	1	10	0
IV	III	III	low	monochamol	8	3	5	1	2	11	0
IV	IV	III	low	monochamol	19	5	14	0	1	20	0
IV	V	III	low	monochamol	13	8	5	1	0	14	2
IV	VI	III	low	monochamol	20	10	10	0	0	20	0
IV	I	IV	high 	plain	0	0	0	0	0	0	0
IV	II	IV	high 	plain	1	1	0	0	0	1	1
IV	III	IV	high 	plain	5	3	2	0	1	6	0
IV	IV	IV	high 	plain	0	0	0	0	0	0	1
IV	V	IV	high 	plain	3	1	2	0	0	3	3
IV	VI	IV	high 	plain	4	2	2	0	0	4	0
