photo_id,owner,URL,latitude,longitude,accuracy,site,year,datetaken_doy,date,month,daymet_sdd,daymet_dl,daymet_spring_t,gs_start,gs_end,gap_lc_code,elev_m,is_useful_pheno,has_flower,note
3860224431,10003691@N00,http://flickr.com/photos/10003691@N00/3860224431,32.42421,-110.7445,15,SantaCatalinaMountains,2009,238,8/26/09,8,50,46310,17.19607843,106,301,48,2392.29,Y,N,
3902619049,10003691@N00,http://flickr.com/photos/10003691@N00/3902619049,32.45385,-110.7569,14,SantaCatalinaMountains,2009,252,9/9/09,9,51,44582,17.3627451,106,301,48,2251.68,Y,Y,
3981990477,10003691@N00,http://flickr.com/photos/10003691@N00/3981990477,32.4446,-110.7896,15,SantaCatalinaMountains,2009,271,9/28/09,9,58,42163,15.31699346,106,301,49,2724.47,Y,N,
3982308898,10003691@N00,http://flickr.com/photos/10003691@N00/3982308898,32.4446,-110.7896,15,SantaCatalinaMountains,2009,270,9/27/09,9,58,42509,15.31699346,106,301,49,2724.47,Y,N,
9481100041,100105074@N04,http://flickr.com/photos/100105074@N04/9481100041,42.914543,-122.143934,15,CraterLake,2012,158,6/6/12,6,274,54259,4.722222222,161,295,174,1931.88,Y,N,
34864783344,100184521@N08,http://flickr.com/photos/100184521@N08/34864783344,40.35414,-105.5845,16,RockyMountainPark,2016,329,11/24/16,11,111,33869,11.43137255,124,281,557,2440.87,Y,N,
10163593166,100232030@N04,http://flickr.com/photos/100232030@N04/10163593166,43.7626,-110.7718,15,GrandTetons,2012,268,9/24/12,9,191,42509,9.225490196,128,278,491,2277.39,Y,N,
9467238051,10026320@N04,http://flickr.com/photos/10026320@N04/9467238051,35.19626,-106.4038,16,SandiaMountains,2013,114,4/24/13,4,64,47693,17.16993464,114,310,158,2573.28,Y,N,
9467246051,10026320@N04,http://flickr.com/photos/10026320@N04/9467246051,35.19626,-106.4038,16,SandiaMountains,2013,114,4/24/13,4,64,47693,17.16993464,114,310,158,2573.28,N,N,
9467260461,10026320@N04,http://flickr.com/photos/10026320@N04/9467260461,35.19626,-106.4038,16,SandiaMountains,2013,114,4/24/13,4,64,47693,17.16993464,114,310,158,2573.28,N,N,
9469991416,10026320@N04,http://flickr.com/photos/10026320@N04/9469991416,35.19626,-106.4038,16,SandiaMountains,2013,114,4/24/13,4,64,47693,17.16993464,114,310,158,2573.28,N,N,
9656985461,100721922@N07,http://flickr.com/photos/100721922@N07/9656985461,45.20623,-117.2681,16,WallowaMountains,2010,186,7/5/10,7,222,55296,4.954248366,168,284,549,2298.43,N,N,
9660213132,100721922@N07,http://flickr.com/photos/100721922@N07/9660213132,45.20623,-117.2681,16,WallowaMountains,2010,185,7/4/10,7,222,55296,4.954248366,168,284,549,2298.43,Y,Y,
9660215216,100721922@N07,http://flickr.com/photos/100721922@N07/9660215216,45.20623,-117.2681,16,WallowaMountains,2010,186,7/5/10,7,222,55296,4.954248366,168,284,549,2298.43,Y,Y,
6862100004,10077339@N02,http://flickr.com/photos/10077339@N02/6862100004,35.2098,-106.4493,16,SandiaMountains,2012,82,3/22/12,3,0,43200,15.69281046,95,316,148,3243.49,N,N,
9601868003,100808258@N07,http://flickr.com/photos/100808258@N07/9601868003,44.89467,-110.3835,16,NorthYellowstone,2013,178,6/27/13,6,137,55296,10.40849673,123,277,314,1875.47,N,N,
6218740573,10098714@N07,http://flickr.com/photos/10098714@N07/6218740573,42.945333,-122.1695,16,CraterLake,2011,256,9/13/11,9,274,44582,1.45751634,167,278,308,2315.01,Y,Y,
9640421917,101084344@N03,http://flickr.com/photos/101084344@N03/9640421917,38.838,-104.9465,14,PikesPeak,2013,230,8/18/13,8,145,48384,11.26143791,124,277,315,2743.35,Y,N,
9643660350,101084344@N03,http://flickr.com/photos/101084344@N03/9643660350,38.838,-104.9465,14,PikesPeak,2013,230,8/18/13,8,145,48384,11.26143791,124,277,315,2743.35,N,N,
9665679392,101203765@N02,http://flickr.com/photos/101203765@N02/9665679392,35.35428,-111.6722,16,HumphreysPeak,2013,245,9/2/13,9,274,45619,5.261437908,168,265,152,3306.68,Y,N,
5075493049,10122630@N04,http://flickr.com/photos/10122630@N04/5075493049,40.44922,-121.5346,16,LassenPeak,2010,284,10/11/10,10,274,39744,8.591503268,169,252,583,2137.29,N,N,
